,varinace,importance
BCh29,29.63520590265111,0.0057393928153943894
ACh25,29.396364322867388,0.006112367231673394
ACh4,29.220829872925744,0.0059285172498349985
ACh3,29.136138202772436,0.007018916110587065
BCh31,29.00963781402005,0.005534082476002783
GCh2,28.784784983214927,0.01086837808528248
ACh2,28.494850761797917,0.006152328393046351
BCh19,28.41671688687056,0.004985992116005188
BCh16,28.108752293862253,0.004580766729976627
ACh27,27.74054642089893,0.006714468352178618
GCh22,27.701177710478852,0.007085632658106036
BCh15,27.49593832723266,0.005005579197526425
GCh1,27.073295446241197,0.009440534657616803
BCh20,26.918286189442153,0.003911081516153692
ACh26,26.570234441178638,0.005482229431378669
BCh8,26.38122751413751,0.006013452710413941
BCh10,26.086763721330286,0.005274085636895108
BCh23,26.0561894480609,0.004855922495135203
BCh27,26.033049359620637,0.006537927560269352
GCh11,25.68691568979741,0.008784943165090625
GCh26,25.287663366026983,0.010348119353492596
BCh9,25.22845729954636,0.004534401990739562
ACh1,24.9742856955811,0.007587008417389649
BCh7,24.323004997567562,0.0052142516306009955
BCh3,23.365622030345584,0.006691755227578509
GCh28,20.60147424401372,0.0074581702853471045
GCh4,20.600548500662924,0.009140646980483051
GCh21,16.84666581173687,0.009154044394968508
GCh30,13.364825519931903,0.008594007178599653
GCh24,12.583961949136567,0.00703817506281004
GCh13,12.185144169456425,0.007255397778041793
GCh27,11.814280347385079,0.009139585842471763
GCh23,11.257111004566818,0.006953206104417163
GCh14,9.588247618184685,0.007958832225532245
GCh3,9.159479980768072,0.007515665906149178
GCh17,8.968569204678454,0.008406513763792206
